code,E2002,E2003,E2004,E2005,E2006,E2007,E2008,E2009,E2010,E2011
S02000001,42.60816038,45.04600068,44.83001635,50.25908008,52.272105,53.34865204,56.29806037,55.85553141,59.95649067,61.72308578
S02000002,73.7033168,79.27450198,79.04569814,84.9650368,91.52344525,96.19495324,101.2375085,97.19468719,103.6476561,103.8058551
S02000003,82.54375748,88.8592198,87.6303516,94.05875726,98.89022968,102.8942889,106.8650915,105.3678702,116.412617,115.4982137
S02000004,100.8222971,107.7351094,109.758499,120.5374683,128.0193457,132.010896,144.9411264,142.2434538,154.2720518,156.6529797
S02000005,53.56597595,56.16593298,56.07035082,61.13492735,63.7071726,68.26986585,72.34795389,70.81746973,76.41714978,77.01262787
S02000006,78.91697602,84.38502833,82.50310057,86.02182255,90.7722684,91.96644291,96.00263447,91.60172621,97.81460421,98.65332665
S02000007,60.54489558,64.46083155,64.91380012,72.32171508,77.18557558,81.3928939,89.54820126,90.40126081,100.0222914,103.5347514
S02000008,91.97145137,95.44404755,93.55111415,101.3972638,105.717508,107.8544683,113.3875516,108.5644524,116.6686133,114.3601198
S02000009,73.13416128,79.86227855,78.65386992,85.61264656,90.69626626,93.20272231,98.83083152,96.62695679,104.2055306,104.8515387
S02000010,76.69974052,82.9412719,80.0406313,88.28016693,91.90532438,94.79013827,98.44069192,94.99448715,103.402835,105.0171772
S02000011,63.04133187,65.82897128,65.67695424,71.00395401,77.09367853,80.44122792,85.02995426,79.95377493,86.26095066,86.14959036
S02000012,72.56041155,75.04589725,74.71448562,83.52251196,88.32691825,92.02714907,97.70464475,95.56785165,100.8291511,103.7064225
S02000013,76.92477203,82.31237605,83.29753269,93.78809555,99.55804588,107.0156925,113.5115294,113.020323,124.4803043,126.6729176
S02000014,94.20539497,100.9748335,99.68321387,108.5045708,114.8507169,120.7446486,128.9381518,125.8208943,136.200755,135.3586769
S02000015,68.51935513,72.93866252,69.1778634,74.6654122,80.26437931,85.26448756,90.00560844,88.07938087,93.49016431,93.46246419
S02000016,51.40210792,56.65033827,56.4904528,61.4533471,65.3814631,69.18446311,72.66868473,72.32573098,80.52989511,81.89658123
S02000017,80.42646492,87.29823452,86.54884054,94.70783653,99.48416905,102.6510403,108.1054931,104.7593079,112.4294554,114.3266782
S02000018,64.96321852,68.5314707,66.46754605,72.9537893,77.64806385,80.97087501,84.50933449,84.68315021,92.44128028,95.17140204
S02000019,56.05675693,60.1612595,59.31450259,65.0986841,68.89682426,70.67688845,71.37880192,70.29211641,76.34371972,77.25910303
S02000020,78.5953119,82.98950757,80.3043132,86.423051,88.44077756,91.76013232,97.82097634,94.54975308,101.8254647,101.0423344
S02000021,75.49393795,81.7076624,82.86694837,89.25745721,92.22080046,96.69688812,100.1167883,97.88212072,107.2210535,108.9532912
S02000022,71.66083387,75.92772367,74.9661932,79.59227223,83.95823343,89.95870724,94.94778852,93.27423972,100.1710699,101.768668
S02000023,79.01245832,83.44472245,80.72708615,87.976193,90.89782708,94.14360951,97.3035951,95.17443862,102.1649868,102.8172397
S02000024,68.58024548,74.63966375,76.85971103,84.70989352,87.79611255,91.31461495,94.92173338,93.45199524,100.5642425,101.7522585
S02000025,87.06255487,92.60798915,90.00800257,96.66005313,100.7470857,102.4111856,107.0193152,102.7823162,107.4120559,106.5274297
S02000026,47.94159455,49.672911,47.0997719,51.88148017,55.59403532,57.69716699,58.4043897,55.88016936,58.19561609,62.80399608
