IG,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011
S02000001,48,34,43,39,35,26,42,26,47,39
S02000002,56,72,69,81,108,129,94,100,91,67
S02000003,47,60,53,60,42,55,70,52,61,66
S02000004,36,60,54,48,49,40,54,53,53,53
S02000005,44,70,56,60,68,60,47,59,54,60
S02000006,61,65,78,65,84,88,61,86,87,78
S02000007,27,44,35,31,31,31,28,39,37,20
S02000008,77,80,72,85,98,82,90,103,133,90
S02000009,32,39,42,36,40,50,44,42,51,39
S02000010,61,56,47,62,52,60,70,59,62,42
S02000011,34,39,37,47,48,50,48,50,41,40
S02000012,71,77,93,108,117,111,108,106,120,125
S02000013,25,35,44,45,40,47,46,45,54,54
S02000014,43,65,60,49,71,82,75,66,57,66
S02000015,94,122,120,129,112,108,116,107,108,108
S02000016,44,45,38,45,37,37,45,44,28,44
S02000017,40,28,40,49,55,39,47,61,62,48
S02000018,74,55,50,62,74,72,60,68,70,57
S02000019,31,24,28,28,33,37,23,36,41,35
S02000020,73,83,77,66,78,91,90,76,84,102
S02000021,58,48,70,71,61,67,69,60,53,66
S02000022,74,99,82,81,60,84,102,99,87,69
S02000023,46,43,58,58,55,64,62,68,57,60
S02000024,52,83,64,65,66,73,69,64,83,67
S02000025,102,95,108,121,100,135,148,118,107,96
S02000026,66,51,37,43,47,48,43,55,41,55
S02000027,83,119,138,119,89,94,114,131,122,120
S02000028,107,117,90,121,128,131,151,134,144,147
S02000029,62,65,78,54,68,60,64,64,58,58
S02000030,68,62,59,84,83,91,87,101,89,74
S02000031,125,123,111,122,108,101,130,125,110,139
S02000032,86,106,92,97,140,119,139,129,113,122
S02000033,111,123,88,98,115,99,104,91,97,86
S02000034,138,139,131,112,115,143,129,130,126,103
S02000035,53,35,60,53,59,57,68,70,65,55
S02000036,64,69,86,65,80,75,88,89,69,85
S02000037,32,28,32,33,52,51,46,54,36,32
S02000038,88,79,79,71,76,81,75,73,79,58
S02000039,40,32,57,29,31,31,42,37,35,48
S02000040,27,32,44,25,30,52,42,44,51,38
S02000041,42,55,44,53,60,67,59,76,58,56
S02000042,16,18,18,26,24,25,36,31,33,26
S02000043,60,55,57,72,58,75,61,56,54,67
S02000044,49,50,55,37,55,53,44,56,51,51
S02000045,53,58,53,49,50,71,45,71,50,58
S02000046,28,27,31,30,31,37,40,29,42,23
S02000047,64,79,82,73,74,77,83,67,71,88
S02000048,50,41,48,46,54,41,61,45,45,42
S02000049,34,49,41,43,42,64,53,31,40,45
S02000050,63,61,70,65,68,71,54,56,61,68
S02000051,54,42,54,49,47,67,62,61,69,99
S02000052,49,71,54,40,43,56,66,50,57,78
S02000053,25,30,27,28,38,34,29,30,25,33
S02000054,50,46,53,51,62,53,70,54,51,53
S02000055,21,31,33,33,39,37,36,44,34,27
S02000056,28,26,24,32,35,32,53,33,39,24
S02000057,68,77,73,99,71,92,75,73,60,52
S02000058,51,55,50,54,47,64,54,49,74,45
S02000059,31,48,42,49,55,52,45,56,59,42
S02000060,33,35,34,44,50,52,55,67,42,38
S02000061,35,47,35,43,34,46,41,53,43,44
S02000062,22,30,53,34,31,38,28,39,43,24
S02000063,31,39,42,32,39,50,49,36,46,41
S02000064,26,27,20,29,23,35,26,31,39,34
S02000065,41,29,38,47,46,63,44,61,32,43
S02000066,37,46,42,76,69,73,90,109,88,80
S02000067,36,46,27,55,60,36,42,46,47,52
S02000068,57,44,35,40,39,29,43,36,51,42
S02000069,32,23,29,39,60,47,59,46,53,48
S02000070,36,35,30,49,56,52,70,55,65,67
S02000071,79,84,69,85,77,86,66,71,86,70
S02000072,53,58,61,72,62,57,52,63,67,66
S02000073,24,19,14,32,19,26,29,36,30,33
S02000074,46,27,24,41,28,36,33,67,56,54
S02000075,51,42,43,55,51,58,44,54,49,47
S02000076,34,30,41,41,40,44,52,28,43,35
S02000077,38,42,47,49,53,41,49,49,42,45
S02000078,27,34,42,53,58,63,61,56,60,52
S02000079,36,40,45,45,53,49,31,46,37,54
S02000080,50,50,43,42,45,36,59,31,51,34
S02000081,22,34,27,31,27,37,24,29,29,35
S02000082,54,64,79,56,60,58,59,55,60,60
S02000083,98,103,85,83,94,90,85,64,77,61
S02000084,26,34,28,28,40,31,41,23,27,25
S02000085,47,38,38,56,65,75,55,64,52,45
S02000086,49,52,63,46,42,54,58,51,47,50
S02000087,24,23,21,28,34,25,33,47,37,37
S02000088,117,127,95,105,85,94,108,90,104,109
S02000089,47,34,44,55,48,34,61,46,42,39
S02000090,30,36,22,27,32,27,41,47,35,40
S02000091,60,61,62,80,64,67,71,78,83,90
S02000092,59,47,59,59,55,76,79,90,58,75
S02000093,63,44,63,51,47,70,82,66,60,80
S02000094,40,27,28,36,40,33,46,55,43,49
S02000095,19,30,42,47,50,42,52,44,59,56
S02000096,39,41,32,35,44,51,40,57,59,54
S02000097,36,45,36,45,41,60,39,52,55,57
S02000098,77,77,78,106,77,75,97,96,96,73
S02000099,63,65,54,43,51,46,56,59,60,41
S02000100,58,73,47,51,37,48,66,70,76,39
S02000101,37,36,33,40,43,44,41,46,35,37
S02000102,38,45,30,50,47,46,44,47,34,37
S02000103,49,44,38,39,56,52,62,40,57,51
S02000104,58,65,45,81,65,64,48,63,62,67
S02000105,36,35,24,33,42,47,50,40,32,38
S02000106,49,69,75,86,79,94,67,77,101,104
S02000107,38,57,48,66,69,70,71,73,53,68
S02000108,58,68,62,74,79,55,59,80,90,63
S02000109,36,39,29,28,32,45,49,65,51,58
S02000110,52,58,59,68,80,71,88,107,77,94
S02000111,39,58,53,29,57,53,49,50,44,57
S02000112,84,77,96,73,70,69,78,85,84,71
S02000113,43,52,72,42,67,55,66,86,57,78
S02000114,46,66,65,64,96,91,99,87,75,83
S02000115,67,79,62,52,83,60,94,80,84,69
S02000116,63,54,52,61,68,78,61,70,56,58
S02000117,32,29,29,30,29,37,47,37,34,35
S02000118,66,88,102,89,96,111,109,98,95,82
S02000119,80,52,64,65,100,138,98,103,87,92
S02000120,41,39,54,46,66,53,52,45,51,47
S02000121,35,23,24,26,28,51,59,54,44,51
S02000122,58,73,66,55,89,73,66,81,69,75
S02000123,63,85,71,86,95,100,83,75,81,61
S02000124,57,64,69,75,77,76,90,98,84,85
S02000125,51,50,45,46,60,67,100,62,74,62
S02000126,41,51,52,51,62,59,72,61,66,65
S02000127,57,31,43,46,45,58,39,61,48,51
S02000128,23,29,36,38,54,44,49,50,41,40
S02000129,31,25,31,32,40,38,34,29,45,47
